Name,qb,rb,wr,te,ol,dl,lb,s,cb,off,def,wins
Eagles2013,11.901321529311188,9.072041362861906,17.1089095279689,4.89832930006995,22.819804908705617,12.630980216151572,10.051616352303537,6.153020726768434,5.363976075858896,65.80040662891756,34.199593371082436,10
Seahawks2013,1.2752300880477423,8.84475956423385,13.784691930279205,10.465642496320646,22.894954319403,26.79339097348052,6.0418462787250675,7.026583836326266,2.8729005131837058,57.265278398284444,42.734721601715556,13
Titans2013,5.787459814811931,14.042786662561138,11.586774091716913,6.374284913594169,24.404834081596782,13.948465146260363,5.243028573957071,9.842551646480214,8.769815069021417,62.19613956428093,37.803860435719066,7
Broncos2013,16.12487420625274,4.368562428952939,8.719282323108713,6.904313148047584,22.012763365635184,10.505377779618797,11.15859030776279,5.078226635032682,15.128009805588569,58.129795471997156,41.870204528002844,13
Giants2013,20.105592564367228,4.603363071271476,7.930977379353032,2.740877650828434,22.150571442957112,13.382897467372945,7.235658055878291,11.611815062657284,10.238247305314195,57.53138210877729,42.46861789122271,7
Texans2013,10.340486890593493,9.521501857813325,12.531875856457287,6.111733727042195,16.439998942752556,13.533764696739961,9.995429295895633,6.875228221857131,14.649980510848419,54.94559727465886,45.05440272534114,2
Saints2013,15.982322916515496,8.046620974896982,10.260103257491442,2.8514905157431536,15.944363962364536,15.574261084726178,12.401813160704103,8.750133660145199,10.188890467412909,53.08490162701161,46.91509837298839,11
Vikings2013,7.112316963227528,13.226583346326947,8.714143609195096,3.8474908303712514,17.069310831333492,30.31829105308053,11.400747642866145,4.778826866879989,3.532288856719025,49.96984558045431,50.03015441954569,5
Lions2013,21.092200557342906,3.9011038836864285,15.052088180756257,4.116625932984999,12.936578232973593,22.001369991794295,10.24257707808507,4.655809717830378,6.0016464245460694,57.098596787744185,42.901403212255815,7
Chargers2013,16.107216874776118,5.2372442705604945,11.002012078512598,8.856584088292815,17.54883475405594,6.284617605649226,18.520458481025468,11.569952390290368,4.873079456836976,58.75189206619796,41.24810793380204,9
Falcons2013,10.98128820524207,6.32830050855182,17.504111896685504,6.976996708471453,16.556239765510266,18.046558456106986,8.480953340581696,7.290486344158814,7.835064774691392,58.34693708446112,41.65306291553888,4
49ers2013,2.634948975409171,8.34994740668999,15.42590714377373,9.611739433893575,15.987882454813763,10.02903846930838,16.242184015029366,9.727554841355845,11.990797259726179,52.010425414580226,47.989574585419774,12
Jets2013,15.204975052703785,4.280068025568146,13.199057121680614,2.6721379510192502,22.21777214739604,5.6124441921743315,20.27494154761011,3.1196111981666443,13.418992763681082,57.57401029836783,42.42598970163217,8
Packers2013,11.713457487161374,2.1868061083885024,9.202962812540394,10.209057266952334,15.821650480438086,14.893810167277499,18.935925146208938,4.47301683144539,12.563313699587486,49.133934155480695,50.866065844519305,8
Patriots2013,14.267340914997686,3.5974907179677507,8.548136198522384,4.055206736965493,22.250529040741274,21.09256119611347,10.552210688310655,7.216395216541056,8.420129289840235,52.718703609194584,47.281296390805416,12
Redskins2013,6.084239217350436,2.2541064512442253,20.102976292217857,4.731896767216924,20.398677248731143,14.492802059749943,19.99477646892967,4.705781149123867,7.2347443454359395,53.57189597676059,46.42810402323941,3
Bears2013,9.901103469470952,10.568140062766826,14.557830982561905,2.1906900799310374,8.842706898144142,26.116299056432467,10.984984922388943,3.338501049770784,13.499743478532945,46.06047149287486,53.93952850712514,8
Panthers2013,8.406364355725206,10.304028196311664,12.245601263716198,4.796852891845707,21.051946622794855,18.550784342566413,13.681745746566767,7.364253887741132,3.598422692732059,56.80479333039363,43.19520666960637,12
Cardinals2013,6.355644433321225,5.463774463879214,15.46696268854628,4.556010732186513,19.738957232878796,21.10451114948915,13.70553085011479,2.892751215084662,10.71585723449937,51.58134955081203,48.41865044918797,10
Cowboys2013,14.126218782794512,2.307191020378623,8.301316656488634,5.74879074952778,19.903601388028793,5.944195689734308,27.05701994969387,3.707193228401802,12.904472534951678,50.38711859721834,49.61288140278166,8
Colts2013,8.13830151698413,6.788469387386405,11.234487154159249,2.467620337483457,17.54864787870497,12.396672812900542,19.803360264667337,12.56916918785401,9.053271459859902,46.17752627471821,53.82247372528179,11
Chiefs2013,9.600304453231878,4.823092995314627,7.771226300702631,3.0801513171794435,18.56615143706297,12.33556739970679,20.201553863339846,11.880253858295987,11.741698375165829,43.84092650349155,56.15907349650845,11
Rams2013,12.756886941067737,2.455419278443997,5.100583759936584,5.787349698017042,17.90889411767159,21.728190932094897,14.624158454194559,3.3929774597591704,16.245539358814426,44.00913379513695,55.99086620486305,7
Buccaneers2013,1.1264876925530678,4.417736856526808,12.787393701292396,2.276519512887842,24.068837307670684,18.705577448267572,5.653124462406784,12.396552049324006,18.56777096907084,44.6769750709308,55.3230249290692,4
Steelers2013,14.134785602118562,2.3412139160560486,8.08047769545686,8.454784913061976,9.950416942593854,11.557831507336441,20.18237557436916,15.133161929895435,10.164951919111662,42.9616790692873,57.0383209307127,8
Jaguars2013,10.454049623194187,11.28730029140411,8.557099504759414,8.967885786150207,18.549815748300247,17.451691873194534,16.962994782698384,3.2957003620312872,4.473462028267628,57.81615095380816,42.18384904619184,4
Bengals2013,2.5152082994661673,5.0524134356998776,7.670182854185731,4.397404621019067,19.67138270400946,34.0524018473196,7.354248816370833,5.12564953903769,14.16110788289157,39.306591914380306,60.693408085619694,11
Ravens2013,7.412635898497201,7.9705925511702285,8.020687136672908,3.982822326316108,16.424287591988033,17.348647830815974,24.015004655463375,3.8295981502993826,10.995723858776794,43.811025504644476,56.188974495355524,8
