name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
NO,9.2,9.0,2.1,-4.0,3.1
KC,7.7,8.0,0.4,-10.4,-3.1
LARD,4.8,8.0,2.8,1.0,3.0
GB,-0.1,10.0,8.9,8.3,-0.7
SD,-2.7,6.0,-3.7,-7.7,-6.6
IND,-7.2,8.0,-14.2,-7.0,0.1
PIT,-8.7,9.0,-13.4,0.2,4.9
DET,-11.4,7.0,-15.6,1.8,6.0
HOIL,-11.8,9.0,3.3,10.6,-4.5
TB,-13.5,5.0,-7.2,3.4,-2.9
MIA,-13.9,8.0,4.7,18.3,-0.3
NE,-16.7,5.0,-4.3,13.4,0.9
ATL,-21.6,3.0,-6.3,16.3,1.0
SEA,-23.0,7.0,-10.4,9.6,-3.0
NYJ,-25.5,4.0,-8.7,16.0,-0.8
PHX,-26.8,5.0,-16.9,13.5,3.7
DAL,-36.2,1.0,-23.3,13.6,0.7
NYG,30.8,13.0,10.5,-14.4,5.9
PHI,28.0,10.0,11.1,-15.9,1.0
LARD,26.0,12.0,20.0,-4.4,1.6
KC,23.3,11.0,8.6,-11.7,3.0
WAS,22.4,10.0,14.1,-5.7,2.5
BUF,21.2,13.0,20.9,-2.9,-2.6
SF,18.8,14.0,12.9,-7.0,-1.1
MIA,17.1,12.0,9.3,-7.2,0.7
CHI,15.0,11.0,2.4,-16.3,-3.7
PIT,13.8,9.0,-8.7,-21.6,0.9
SD,10.9,6.0,4.1,-7.2,-0.5
HOIL,10.1,9.0,16.9,1.6,-5.2
MIN,4.3,6.0,-9.1,-12.8,0.7
SEA,-0.4,9.0,-4.4,-5.6,-1.6
NYJ,-7.1,6.0,2.2,12.3,3.1
PHX,-7.3,5.0,3.5,12.6,1.8
DEN,-7.5,5.0,5.2,8.4,-4.3
DET,-8.9,6.0,6.8,14.4,-1.3
ATL,-11.0,5.0,-13.0,3.0,5.0
LARM,-11.3,5.0,6.4,13.1,-4.6
CIN,-12.3,9.0,1.7,11.6,-2.4
NO,-12.5,8.0,-15.8,2.8,6.1
DAL,-19.9,7.0,-23.6,-5.9,-2.1
GB,-21.1,6.0,-13.6,8.9,1.4
IND,-24.0,7.0,-16.3,7.1,-0.6
CLE1,-30.3,3.0,-20.3,12.2,2.2
TB,-30.7,6.0,-19.9,9.5,-1.4
NE,-38.0,1.0,-23.4,13.4,-1.3
WAS,56.9,14.0,27.2,-21.1,8.6
SF,26.0,10.0,24.0,-4.8,-2.8
NO,19.6,11.0,-1.7,-24.5,-3.2
BUF,19.1,13.0,21.5,2.1,-0.2
PHI,17.9,10.0,-24.6,-42.4,0.1
KC,17.8,10.0,13.3,-2.1,2.5
HOIL,11.8,11.0,9.2,-5.8,-3.2
DAL,9.9,11.0,17.6,11.4,3.6
CHI,7.3,11.0,5.3,-7.7,-5.7
NYG,6.1,8.0,12.5,7.0,0.7
ATL,5.8,10.0,3.5,1.2,3.6
DEN,3.5,12.0,-1.8,-10.2,-4.9
LARD,1.9,9.0,-0.9,0.3,3.2
SD,1.6,4.0,4.7,3.6,0.5
CLE1,1.0,6.0,3.7,1.1,-1.7
MIN,0.5,8.0,11.8,10.6,-0.7
DET,-1.2,12.0,-2.6,0.9,2.3
MIA,-1.3,8.0,12.2,14.5,0.9
SEA,-3.8,7.0,-14.9,-8.2,2.9
NYJ,-4.4,8.0,4.7,5.2,-3.9
PIT,-7.6,7.0,-8.6,0.3,1.3
LARM,-10.7,3.0,0.4,13.5,2.4
GB,-15.4,4.0,-15.9,-0.8,-0.2
CIN,-24.3,3.0,-9.8,14.1,-0.4
PHX,-24.3,4.0,-20.4,4.6,0.8
NE,-31.5,6.0,-23.7,5.9,-1.9
TB,-38.1,3.0,-28.4,5.9,-3.8
IND,-47.7,1.0,-32.8,13.5,-1.5
DAL,35.1,13.0,23.6,-9.5,1.9
PHI,31.7,11.0,10.5,-18.1,3.1
SF,29.9,14.0,33.1,2.9,-0.3
NO,21.4,12.0,4.5,-18.3,-1.4
WAS,17.0,9.0,9.0,-9.3,-1.3
HOIL,16.4,10.0,12.3,-5.4,-1.2
BUF,16.0,11.0,9.6,-4.3,2.1
PIT,15.4,11.0,4.1,-9.2,2.1
MIN,12.7,11.0,-0.8,-12.8,0.6
SD,11.4,11.0,8.7,-1.1,1.6
MIA,8.9,11.0,11.4,-0.3,-2.7
KC,6.5,10.0,-0.8,-6.6,0.7
CLE1,-1.4,7.0,-1.3,1.8,1.6
LARD,-2.5,7.0,-3.7,-2.4,-1.1
PHX,-4.0,4.0,-0.2,7.3,3.5
CHI,-6.6,5.0,-0.4,6.8,0.6
NYG,-7.0,6.0,9.3,12.0,-4.2
GB,-8.2,9.0,-0.1,6.1,-2.0
NYJ,-11.7,4.0,-12.3,-1.7,-1.1
LARM,-12.3,6.0,5.2,14.4,-3.1
ATL,-14.7,6.0,2.9,21.3,3.8
DEN,-14.9,8.0,-15.7,0.8,1.6
DET,-16.1,5.0,-13.8,6.2,3.9
CIN,-19.4,5.0,-6.9,10.2,-2.3
TB,-23.3,5.0,-6.1,8.0,-9.2
SEA,-26.1,2.0,-41.3,-15.7,-0.4
IND,-27.2,9.0,-26.9,3.4,3.1
NE,-40.1,2.0,-27.6,10.8,-1.7
DAL,24.9,12.0,21.8,0.8,3.8
SF,24.9,10.0,31.4,3.8,-2.8
KC,19.9,11.0,12.3,-9.9,-2.3
SD,17.4,8.0,11.9,-4.2,1.3
