name,dvoa,wins,o_dvoa,d_dvoa,s_dvoa
DAL,4.8,10.0,-6.8,-12.7,-1.1
NYJ,3.5,6.0,12.0,10.7,2.2
STL,1.3,12.0,-7.5,-11.4,-2.6
MIN,1.0,9.0,13.8,6.9,-5.9
CAR,0.6,11.0,-5.0,-5.1,0.6
JAC,0.5,5.0,1.0,-5.4,-6.0
SF,-0.9,7.0,7.8,3.2,-5.6
PIT,-1.6,6.0,-6.3,-0.8,3.8
CIN,-4.3,8.0,8.3,13.8,1.2
NO,-5.0,8.0,2.7,6.1,-1.6
CLE,-6.6,5.0,-8.4,-1.9,0.0
BUF,-7.3,6.0,-16.1,-11.0,-2.2
SD,-11.8,4.0,4.1,12.0,-3.9
WAS,-12.7,5.0,-6.7,8.6,2.5
CHI,-14.7,7.0,-16.8,1.2,3.3
OAK,-16.7,4.0,-9.1,9.5,1.9
ATL,-18.0,5.0,-9.3,10.6,1.9
NYG,-21.5,4.0,-11.3,4.3,-5.9
HOU,-23.6,5.0,-14.7,11.7,2.8
DET,-24.0,5.0,-21.7,5.9,3.7
ARI,-42.0,4.0,-21.5,18.3,-2.2
PIT,37.6,15.0,16.3,-18.9,2.4
NE,34.2,14.0,23.3,-10.7,0.2
BUF,31.3,9.0,-5.9,-28.5,8.7
NYJ,27.0,10.0,20.8,-3.7,2.5
IND,25.9,12.0,31.8,3.1,-2.8
PHI,23.7,13.0,14.7,-2.2,6.8
DEN,22.8,10.0,13.8,-12.0,-2.9
BAL,21.1,9.0,-2.1,-19.9,3.3
SD,17.2,12.0,16.7,-4.2,-3.7
KC,15.1,7.0,31.6,16.0,-0.5
CIN,13.2,8.0,3.7,-5.3,4.2
GB,2.8,10.0,17.1,15.2,1.0
JAC,1.7,9.0,-3.5,-5.8,-0.7
CAR,1.3,7.0,0.0,-4.2,-2.9
SEA,-2.9,9.0,2.8,4.0,-1.7
TB,-3.6,5.0,-7.1,-8.0,-4.5
ATL,-4.8,11.0,-10.5,-1.1,4.5
WAS,-7.9,6.0,-18.6,-15.4,-4.8
HOU,-7.9,7.0,-1.8,1.9,-4.2
MIN,-8.1,8.0,17.3,21.6,-3.8
DET,-8.3,6.0,-10.1,3.2,5.0
MIA,-13.1,4.0,-29.5,-11.1,5.3
DAL,-13.8,6.0,-4.6,10.8,1.5
OAK,-13.9,5.0,-0.5,11.5,-1.9
NYG,-14.7,6.0,-11.2,4.1,0.6
TEN,-17.6,5.0,-3.2,9.7,-4.7
NO,-18.6,8.0,-12.8,12.2,6.5
CLE,-18.9,4.0,-14.2,6.8,2.0
ARI,-23.1,6.0,-23.7,-2.5,-1.9
CHI,-27.1,5.0,-36.5,-7.3,2.0
STL,-27.2,8.0,-4.1,14.2,-9.0
SF,-41.8,2.0,-21.2,19.4,-1.2
IND,32.1,14.0,24.5,-10.2,-2.6
DEN,30.4,13.0,26.9,-7.0,-3.6
SEA,28.4,13.0,28.5,-0.7,-0.8
PIT,27.2,11.0,12.0,-13.5,1.6
KC,24.4,10.0,23.7,-2.9,-2.2
SD,23.3,9.0,22.1,-1.1,0.0
WAS,21.4,10.0,8.1,-11.6,1.7
CIN,19.9,11.0,22.9,3.5,0.5
NYG,18.5,11.0,10.2,-3.1,5.2
CAR,17.7,11.0,0.6,-14.2,2.9
JAC,15.3,12.0,5.6,-9.1,0.6
NE,9.6,10.0,17.5,9.2,1.2
DAL,5.6,9.0,2.5,-4.1,-1.0
TB,3.1,11.0,-5.1,-8.6,-0.4
MIA,2.5,9.0,-7.3,-6.1,3.7
CHI,-0.9,11.0,-17.1,-19.4,-3.2
BAL,-1.3,6.0,-11.7,-10.1,0.3
PHI,-2.3,6.0,-7.5,-5.5,-0.2
ATL,-5.8,8.0,3.3,11.9,2.7
OAK,-6.8,4.0,-0.6,1.9,-4.3
GB,-11.4,4.0,-3.9,2.9,-4.6
ARI,-12.2,5.0,-9.5,-0.1,-2.8
CLE,-15.6,6.0,-11.7,6.1,2.2
BUF,-17.8,5.0,-18.0,8.6,8.8
MIN,-18.5,9.0,-13.9,3.8,-0.8
NYJ,-20.9,4.0,-19.8,1.0,-0.2
TEN,-21.9,4.0,-8.2,15.9,2.2
NO,-22.8,3.0,-12.0,8.6,-2.2
DET,-23.8,5.0,-17.1,1.6,-5.1
STL,-25.3,6.0,-7.9,12.7,-4.7
HOU,-30.0,2.0,-15.4,20.1,5.5
SF,-55.5,4.0,-40.4,16.6,1.5
SD,29.5,14.0,25.7,1.1,4.9
BAL,27.7,13.0,0.9,-23.0,3.9
NE,26.3,12.0,14.1,-9.2,2.9
PHI,25.6,10.0,21.1,-7.0,-2.5
CHI,23.9,13.0,-5.0,-20.1,8.7
JAC,22.5,8.0,6.8,-16.1,-0.5
IND,16.3,12.0,28.5,8.5,-3.6
NYG,13.7,8.0,12.0,-1.6,0.1
DAL,13.0,9.0,12.0,-1.5,-0.5
PIT,9.3,8.0,7.1,-7.2,-5.0
CIN,6.7,8.0,14.0,8.7,1.4
NO,6.4,10.0,10.0,4.2,0.6
CAR,5.4,8.0,-2.2,-10.9,-3.2
KC,5.3,9.0,6.3,2.3,1.3
NYJ,-1.1,10.0,5.6,10.4,3.7
MIA,-1.2,6.0,-10.0,-9.7,-0.9
DEN,-1.4,9.0,-4.8,-2.8,0.6
BUF,-2.1,7.0,-7.5,1.7,7.1
GB,-4.3,8.0,-4.9,-5.3,-4.8
ATL,-8.0,7.0,-0.6,2.8,-4.6
WAS,-9.1,5.0,4.0,15.0,1.9
TEN,-10.7,8.0,-9.5,3.9,2.8
MIN,-12.9,6.0,-17.9,-9.3,-4.4
SEA,-13.0,9.0,-11.2,4.7,2.9
STL,-15.3,8.0,2.5,12.4,-5.3
CLE,-16.1,4.0,-16.5,3.0,3.3
SF,-19.4,7.0,-8.2,11.4,0.1
TB,-19.7,4.0,-16.0,4.0,0.3
DET,-21.6,3.0,-13.4,11.2,3.0
ARI,-22.0,5.0,-9.4,6.6,-6.1
HOU,-22.3,6.0,-6.3,13.7,-2.2
OAK,-32.9,2.0,-37.0,-8.0,-3.9
NE,52.9,16.0,43.5,-5.8,3.6
IND,28.3,13.0,22.2,-13.0,-6.9
JAC,24.1,11.0,21.6,-2.5,0.0
DAL,22.9,13.0,16.6,-6.8,-0.4
GB,19.8,13.0,15.7,-1.2,3.0
PIT,19.4,10.0,8.5,-12.5,-1.6
SD,18.2,11.0,4.6,-8.5,5.1
TB,17.8,9.0,5.8,-11.7,0.3
SEA,14.7,10.0,6.6,-6.9,1.2
PHI,11.7,8.0,12.4,-5.6,-6.4
TEN,9.9,10.0,-4.0,-14.4,-0.4
CLE,9.7,10.0,7.9,6.3,8.1
WAS,6.4,9.0,-1.0,-7.9,-0.4
NYG,1.9,10.0,-1.1,-3.8,-0.9
MIN,1.8,8.0,-0.8,-0.1,2.5
CIN,1.7,7.0,12.0,9.5,-0.8
DEN,-0.8,7.0,9.5,5.2,-5.1
HOU,-3.6,8.0,1.5,12.0,6.9
BAL,-4.7,5.0,-13.3,-8.6,0.1
CHI,-4.8,7.0,-22.1,-6.1,11.2
BUF,-5.0,7.0,-9.7,0.2,4.9
NO,-9.7,7.0,6.6,12.1,-4.3
ARI,-12.8,8.0,-3.6,4.7,-4.5
NYJ,-15.3,4.0,-9.3,7.6,1.6
KC,-19.5,4.0,-19.4,-3.8,-4.0
CAR,-20.6,7.0,-14.7,0.0,-5.8
MIA,-21.4,1.0,-6.1,12.6,-2.7
ATL,-25.9,4.0,-16.2,9.6,-0.1
DET,-29.0,7.0,-10.3,15.2,-3.5
OAK,-29.2,4.0,-18.0,5.7,-5.5
SF,-33.4,5.0,-32.2,6.3,5.2
STL,-35.5,3.0,-22.7,8.2,-4.7
PHI,31.8,9.0,6.5,-23.6,1.7
BAL,27.6,11.0,-0.3,-27.8,0.1
NYG,26.0,12.0,18.9,-5.1,1.9
PIT,26.0,12.0,-1.5,-29.0,-1.5
TEN,23.8,13.0,4.0,-18.6,1.3
CAR,18.0,12.0,12.9,-2.4,2.7
SD,15.3,8.0,18.8,5.3,1.8
IND,15.0,12.0,14.2,-3.1,-2.3
NE,13.1,11.0,12.5,3.6,4.2
TB,9.7,9.0,-0.5,-10.7,-0.5
GB,9.2,6.0,7.3,-2.5,-0.5
WAS,9.1,8.0,8.2,-3.4,-2.6
NO,7.6,8.0,16.3,7.8,-0.9
MIA,6.2,11.0,12.0,-0.1,-5.9
CHI,5.6,9.0,-9.0,-9.8,4.7
ATL,4.7,11.0,8.5,7.5,3.8
NYJ,4.0,9.0,0.0,-0.8,3.2
DAL,2.5,9.0,1.8,-4.2,-3.6
MIN,1.5,10.0,-9.9,-19.3,-7.9
JAC,-1.1,5.0,6.0,6.3,-0.8
ARI,-5.0,9.0,4.6,5.1,-4.6
HOU,-7.4,8.0,6.2,13.5,-0.1
BUF,-8.4,7.0,-9.8,5.8,7.1
DEN,-8.5,8.0,19.2,20.7,-7.0
SF,-14.1,7.0,-15.6,3.6,5.2
CLE,-20.3,4.0,-21.3,3.9,4.9
CIN,-20.7,4.0,-18.3,-0.3,-2.8
SEA,-22.6,4.0,-14.2,11.3,2.9
OAK,-23.2,5.0,-26.1,3.7,6.5
KC,-29.4,2.0,-9.2,13.3,-7.0
STL,-47.1,2.0,-28.2,18.3,-0.6
DET,-48.4,0.0,-25.3,24.3,1.3
BAL,29.1,9.0,12.8,-14.2,2.2
GB,29.1,11.0,18.8,-17.7,-7.5
PHI,28.8,11.0,9.7,-14.3,4.8
NE,28.8,10.0,26.4,-1.1,1.3
DAL,25.5,11.0,21.7,-2.9,1.0
NO,21.3,13.0,24.3,-0.4,-3.4
MIN,18.5,12.0,12.9,-1.0,4.7
IND,16.5,14.0,16.8,-0.8,-1.1
NYJ,15.8,9.0,-12.5,-25.5,2.8
PIT,14.2,9.0,14.4,-4.6,-4.8
SD,13.5,13.0,19.7,6.5,0.2
ARI,11.2,10.0,6.8,-2.8,1.7
DEN,10.6,8.0,1.3,-9.8,-0.4
HOU,9.7,9.0,9.9,2.5,2.4
CAR,7.1,8.0,-2.0,-12.8,-3.7
MIA,4.4,7.0,4.1,1.5,1.8
NYG,4.2,8.0,8.7,2.4,-2.0
ATL,0.5,9.0,5.9,4.1,-1.3
CIN,-0.1,10.0,-0.9,-2.0,-1.3
SF,-1.2,8.0,-14.1,-14.0,-1.1
TEN,-6.6,8.0,4.2,9.1,-1.7
WAS,-7.8,4.0,-8.3,-2.1,-1.7
JAC,-9.3,7.0,3.8,11.3,-1.8
BUF,-10.4,6.0,-20.7,-9.2,1.1
CHI,-18.1,7.0,-19.7,3.0,4.7
CLE,-23.1,5.0,-16.4,16.4,9.7
TB,-23.8,3.0,-19.3,8.0,3.5
KC,-29.2,4.0,-18.0,9.2,-2.1
SEA,-30.8,5.0,-19.6,12.0,0.8
OAK,-34.0,5.0,-25.8,7.9,-0.3
STL,-45.1,1.0,-29.5,17.2,1.7
DET,-51.6,2.0,-28.4,17.9,-5.3
NE,44.6,14.0,42.2,2.3,4.7
PIT,35.4,12.0,14.3,-20.7,0.4
PHI,23.2,10.0,17.3,-3.6,2.3
GB,23.0,10.0,11.5,-13.9,-2.4
BAL,21.7,12.0,5.4,-10.3,6.0
NYJ,18.7,11.0,2.1,-10.9,5.8
ATL,16.3,13.0,8.0,-2.1,6.3
SD,15.4,9.0,15.5,-10.0,-10.2
NYG,13.0,10.0,7.5,-11.2,-5.8
NO,9.2,11.0,6.4,-4.3,-1.5
TEN,6.6,6.0,-4.5,-5.8,5.3
TB,3.7,10.0,8.0,3.7,-0.5
HOU,2.5,6.0,21.7,17.5,-1.7
CHI,2.4,11.0,-15.8,-10.9,7.4
MIA,1.8,7.0,0.7,-4.8,-3.7
IND,1.3,10.0,13.1,5.5,-6.3
KC,0.3,10.0,4.4,2.1,-2.1
DET,-1.1,6.0,-0.8,2.9,2.6
CIN,-3.4,4.0,1.7,1.5,-3.5
CLE,-4.0,5.0,-5.0,1.7,2.7
OAK,-4.1,8.0,-8.3,-2.3,1.8
JAC,-9.0,8.0,3.9,17.7,4.8
DAL,-10.5,6.0,-4.7,6.3,0.6
SF,-11.2,6.0,-11.1,-1.4,-1.5
MIN,-13.9,6.0,-15.1,-2.5,-1.4
DEN,-17.1,4.0,2.1,16.6,-2.6
STL,-19.4,7.0,-18.1,2.1,0.8
WAS,-19.4,6.0,-11.3,5.8,-2.3
BUF,-21.3,4.0,-14.5,6.8,-0.1
SEA,-22.9,7.0,-17.3,12.0,6.4
CAR,-36.2,2.0,-35.8,-1.1,-1.5
ARI,-37.1,5.0,-35.6,5.6,4.2
GB,27.0,15.0,33.8,8.6,1.8
NO,23.8,13.0,33.0,10.2,1.0
NE,22.8,13.0,31.9,13.2,4.1
PIT,22.6,12.0,11.4,-9.4,1.7
HOU,18.6,10.0,8.4,-9.5,0.7
SF,18.6,13.0,-3.9,-14.6,7.8
BAL,14.5,12.0,2.9,-17.1,-5.6
ATL,13.9,10.0,6.1,-9.1,-1.3
PHI,13.5,8.0,9.8,-3.7,0.0
NYJ,13.5,8.0,-8.3,-16.1,5.6
DET,10.1,10.0,7.1,-8.1,-5.1
NYG,8.5,9.0,10.5,2.4,0.3
TEN,6.6,9.0,0.6,0.3,6.3
DAL,3.5,8.0,5.9,0.4,-2.1
CHI,1.3,8.0,-21.4,-14.2,8.5
SD,0.7,8.0,13.0,10.8,-1.6
CIN,0.1,9.0,-1.4,0.8,2.3
MIA,-1.3,6.0,-7.5,-3.7,2.5
SEA,-1.5,7.0,-8.7,-7.1,0.2
CAR,-4.1,6.0,18.2,15.8,-6.5
WAS,-7.0,5.0,-7.0,-1.2,-1.2
OAK,-8.0,8.0,2.6,9.6,-1.0
BUF,-9.7,6.0,0.3,8.3,-1.7
DEN,-11.8,8.0,-9.9,1.6,-0.2
CLE,-14.2,4.0,-11.2,4.2,1.3
KC,-16.9,7.0,-19.3,-3.2,-0.9
JAC,-17.4,5.0,-26.5,-11.3,-2.2
ARI,-19.7,8.0,-18.4,2.4,1.2
MIN,-22.2,3.0,-10.2,8.0,-4.1
TB,-25.1,4.0,-11.5,14.2,0.6
IND,-32.8,2.0,-17.2,9.3,-6.2
STL,-35.4,2.0,-27.2,3.4,-4.8
SEA,38.7,11.0,18.5,-14.5,5.7
DEN,36.5,13.0,22.1,-13.8,0.6
NE,34.9,12.0,30.8,1.4,5.5
SF,29.5,11.0,16.5,-14.4,-1.5
GB,26.3,11.0,19.5,-7.0,-0.2
CHI,20.5,10.0,-10.9,-26.7,4.7
NYG,13.4,9.0,12.8,1.5,2.0
BAL,9.8,10.0,3.0,2.2,9.0
WAS,9.3,10.0,15.3,1.7,-4.3
ATL,9.1,13.0,6.1,-2.9,0.1
HOU,6.7,12.0,0.1,-14.2,-7.7
CIN,6.1,10.0,-1.8,-3.8,4.1
CAR,5.5,7.0,7.2,-3.1,-4.8
MIN,2.0,10.0,0.3,3.1,4.7
STL,1.5,7.0,-4.2,-9.1,-3.4
DET,0.1,4.0,12.3,7.1,-5.1
DAL,-0.4,8.0,6.1,6.7,0.2
PIT,-1.2,8.0,-4.0,-2.9,-0.1
NO,-5.2,7.0,11.9,14.8,-2.3
TB,-6.6,7.0,0.6,2.9,-4.3
MIA,-7.2,7.0,-8.4,-0.8,0.4
SD,-9.0,7.0,-10.0,2.0,3.0
BUF,-12.1,6.0,-4.2,10.6,2.7
CLE,-13.5,5.0,-15.2,4.5,6.1
IND,-16.0,11.0,-2.9,14.0,0.9
ARI,-16.3,5.0,-30.9,-13.5,1.1
NYJ,-18.0,6.0,-20.7,-4.2,-1.5
PHI,-22.4,4.0,-10.8,9.4,-2.2
OAK,-27.8,4.0,-9.5,12.5,-5.8
TEN,-29.4,6.0,-20.5,7.5,-1.4
JAC,-33.0,2.0,-18.4,11.7,-3.0
KC,-40.1,2.0,-25.1,13.0,-2.0
SEA,40.0,13.0,9.4,-25.9,4.7
DEN,32.7,13.0,33.5,-0.2,-1.0
CAR,24.6,12.0,7.9,-15.7,1.0
NO,19.3,11.0,16.0,-5.8,-2.5
NE,18.9,12.0,16.4,4.2,6.7
KC,17.5,11.0,3.0,-6.7,7.8
SF,17.4,12.0,9.1,-4.6,3.7
PHI,15.2,10.0,22.9,4.9,-2.8
CIN,14.2,11.0,0.4,-12.6,1.2
ARI,10.0,10.0,-2.4,-16.4,-4.1
CHI,6.6,8.0,13.3,8.7,2.0
SD,6.4,9.0,23.1,17.5,0.8
IND,3.2,11.0,4.3,0.9,-0.1
STL,2.4,7.0,-9.5,-5.7,6.3
PIT,0.9,8.0,4.4,4.0,0.5
DET,-1.5,7.0,-1.9,-0.8,-0.4
DAL,-2.8,8.0,7.5,13.8,3.4
BUF,-3.3,6.0,-11.5,-13.8,-5.6
TB,-5.1,4.0,-10.4,-6.8,-1.5
GB,-6.0,8.0,8.6,14.4,-0.3
TEN,-6.1,7.0,1.4,4.2,-3.2
MIA,-6.5,8.0,-1.8,2.4,-2.4
BAL,-6.7,8.0,-21.7,-8.7,6.3
NYJ,-7.7,8.0,-15.3,-5.6,2.1
ATL,-10.4,4.0,3.2,13.5,-0.1
MIN,-11.4,5.0,-4.7,10.5,3.8
NYG,-15.7,7.0,-22.0,-11.4,-5.1
CLE,-21.8,4.0,-14.4,8.2,0.9
WAS,-26.2,3.0,-10.0,4.2,-12.0
HOU,-26.5,2.0,-18.9,2.5,-5.1
OAK,-34.1,4.0,-16.7,10.3,-7.1
JAC,-38.2,4.0,-29.8,10.9,2.5
SEA,31.9,12.0,16.8,-16.8,-1.7
DEN,29.5,12.0,20.0,-13.2,-3.7
GB,23.3,12.0,24.7,-1.0,-2.3
NE,22.1,12.0,13.5,-3.0,5.7
BAL,21.9,10.0,9.4,-4.6,8.0
DAL,13.7,12.0,16.8,4.0,0.9
PHI,12.8,10.0,1.1,-3.3,8.3
PIT,12.1,11.0,22.5,11.3,0.9
BUF,10.5,9.0,-11.2,-15.5,6.2
KC,10.4,9.0,5.0,1.3,6.7
SF,6.6,8.0,-0.4,-10.1,-3.0
CIN,5.0,10.0,-1.4,-2.3,4.2
IND,4.5,11.0,-1.1,-2.3,3.3
DET,4.4,11.0,-3.8,-13.9,-5.7
MIA,3.5,8.0,10.1,0.5,-6.1
SD,-0.6,9.0,7.0,4.9,-2.7
NO,-0.9,7.0,10.6,13.1,1.6
STL,-3.8,6.0,-11.1,-3.8,3.5
HOU,-4.5,9.0,-6.8,-6.2,-3.9
ATL,-5.4,6.0,7.2,15.7,3.0
NYG,-5.8,6.0,-0.3,4.9,-0.6
ARI,-6.4,11.0,-9.3,-5.0,-2.2
CLE,-6.7,7.0,-10.2,-3.0,0.4
CAR,-8.5,7.0,-4.7,-1.7,-5.5
MIN,-8.7,7.0,-7.4,4.3,3.0
CHI,-13.8,5.0,-0.1,10.6,-3.1
NYJ,-15.5,4.0,-11.2,3.5,-0.8
WAS,-27.0,4.0,-11.8,9.9,-5.4
OAK,-27.4,3.0,-19.4,6.3,-1.7
TB,-28.3,2.0,-26.3,1.1,-0.8
TEN,-29.3,2.0,-16.4,11.2,-1.8
JAC,-29.5,3.0,-24.3,1.5,-3.6
SEA,38.1,10.0,18.7,-15.2,4.2
CIN,27.9,12.0,18.6,-7.1,2.2
ARI,27.4,13.0,15.7,-15.6,-4.0
CAR,26.0,15.0,10.1,-18.4,-2.4
KC,25.2,11.0,11.7,-11.6,2.0
NE,22.6,12.0,15.4,-3.3,3.9
PIT,21.3,10.0,17.3,-3.8,0.1
DEN,17.7,12.0,-8.7,-25.8,0.7
NYJ,12.4,10.0,1.6,-13.8,-2.9
GB,9.9,10.0,2.2,-7.3,0.4
MIN,5.7,11.0,0.0,-1.8,3.9
BUF,2.7,8.0,9.8,8.6,1.5
DET,1.2,7.0,1.8,1.6,1.0
OAK,0.1,7.0,-1.3,-1.5,-0.1
WAS,-0.3,9.0,1.9,5.4,3.2
STL,-2.2,7.0,-15.0,-10.5,2.4
BAL,-3.0,5.0,-5.2,5.1,7.3
HOU,-4.8,9.0,-8.5,-9.3,-5.7
CHI,-5.7,6.0,6.9,11.3,-1.2
NYG,-7.1,6.0,-1.8,10.7,5.4
TB,-9.1,6.0,-1.1,3.3,-4.7
PHI,-11.2,7.0,-10.1,3.0,1.9
IND,-12.9,8.0,-15.6,-2.2,0.5
SD,-14.8,4.0,0.9,10.4,-5.3
JAC,-16.0,5.0,-5.4,9.7,-0.9
ATL,-16.3,8.0,-7.3,6.9,-2.1
DAL,-18.0,4.0,-15.6,4.1,1.8
NO,-18.7,7.0,10.5,26.1,-3.2
MIA,-19.0,6.0,-7.3,9.0,-2.7
CLE,-23.0,3.0,-13.2,10.5,0.7
TEN,-26.6,3.0,-15.7,7.1,-3.8
SF,-27.5,5.0,-14.0,9.9,-3.6
NE,24.9,14.0,20.8,-1.8,2.3
DAL,20.3,13.0,19.9,1.1,1.6
ATL,19.8,11.0,24.6,7.3,2.5
PIT,17.1,11.0,12.5,-4.7,-0.1
PHI,14.4,7.0,-5.5,-12.4,7.5
KC,13.5,12.0,2.9,-2.8,7.8
GB,12.3,10.0,16.6,2.5,-1.9
NYG,9.6,11.0,-6.0,-14.5,1.2
WAS,9.5,8.0,15.8,6.8,0.4
OAK,8.2,12.0,12.2,4.3,0.3
SEA,8.0,10.0,-2.6,-10.6,-0.1
BAL,7.4,8.0,-7.5,-9.9,4.9
CIN,4.0,6.0,7.5,0.8,-2.7
DEN,3.7,9.0,-12.3,-18.3,-2.3
TEN,3.5,9.0,10.8,6.4,-1.0
ARI,1.3,7.0,-6.0,-13.6,-6.3
BUF,1.0,7.0,10.7,7.8,-1.9
MIA,1.0,10.0,1.8,1.6,0.8
SD,-1.1,5.0,-3.2,-6.8,-4.8
MIN,-1.7,8.0,-9.8,-6.6,1.5
NO,-1.9,7.0,15.4,14.6,-2.6
TB,-3.0,9.0,-4.1,-2.9,-1.8
IND,-4.6,8.0,3.7,12.5,4.1
CAR,-5.5,6.0,-8.4,-5.3,-2.5
CHI,-8.3,3.0,-2.6,5.0,-0.6
JAC,-10.4,3.0,-11.3,-3.1,-2.3
DET,-15.6,9.0,-0.6,18.5,3.5
SF,-19.6,2.0,-7.2,12.1,-0.3
HOU,-21.9,9.0,-21.2,-5.8,-6.5
LARM,-28.6,4.0,-37.8,-2.0,7.1
CLE,-30.4,1.0,-13.4,14.5,-2.5
NYJ,-32.4,5.0,-21.9,3.7,-6.8
NO,30.7,11.0,21.6,-7.9,1.2
LARM,27.7,11.0,11.1,-9.8,6.8
PIT,27.1,13.0,17.6,-6.4,3.1
MIN,25.0,13.0,12.0,-13.9,-0.9
PHI,23.4,13.0,10.1,-12.3,0.9
NE,22.6,13.0,27.3,10.9,6.3
BAL,18.6,9.0,-4.5,-13.9,9.2
JAC,13.2,10.0,-0.3,-16.2,-2.7
CAR,13.0,11.0,-0.5,-8.8,4.7
KC,10.6,10.0,15.9,10.7,5.3
LACH,7.9,9.0,10.6,-4.7,-7.5
DET,5.5,9.0,4.4,4.0,5.1
DAL,5.3,9.0,6.5,5.8,4.6
SEA,3.8,9.0,2.0,-3.8,-2.0
ATL,1.4,10.0,8.1,5.6,-1.2
WAS,-0.6,7.0,-3.1,-4.9,-2.4
GB,-3.3,7.0,0.3,4.9,1.3
TEN,-5.7,9.0,-2.2,5.0,1.6
OAK,-6.6,6.0,4.0,10.3,-0.2
SF,-8.4,6.0,-3.0,8.3,2.9
BUF,-9.8,9.0,-11.1,1.6,2.9
ARI,-10.8,8.0,-18.0,-12.7,-5.5
TB,-12.0,5.0,5.2,11.7,-5.5
CIN,-12.6,7.0,-6.5,3.7,-2.4
CHI,-16.0,5.0,-15.1,-1.5,-2.4
NYJ,-17.2,5.0,-10.3,3.9,-3.0
MIA,-19.8,6.0,-13.1,9.4,2.6
HOU,-20.0,4.0,-9.9,5.6,-4.5
DEN,-21.1,5.0,-19.0,-5.3,-7.4
NYG,-22.3,3.0,-9.1,5.7,-7.5
IND,-22.8,4.0,-17.8,8.7,3.7
CLE,-27.2,0.0,-20.1,2.0,-5.1
KC,32.9,12.0,34.2,6.9,5.6
LAR,24.0,13.0,24.6,0.5,-0.2
LAC,22.6,12.0,20.7,-4.7,-2.8
NO,20.5,13.0,15.9,-2.9,1.7
CHI,19.4,12.0,-3.4,-26.0,-3.2
BAL,17.0,10.0,0.9,-13.1,2.9
NE,14.2,11.0,14.5,0.4,0.1
IND,12.6,10.0,8.2,-3.4,0.9
PIT,11.2,9.0,13.8,-0.9,-3.5
MIN,8.1,8.0,-1.3,-10.3,-0.9
HOU,7.1,11.0,-3.5,-7.1,3.5
SEA,6.7,10.0,8.8,-0.1,-2.2
DEN,6.6,6.0,1.1,-9.7,-4.2
CAR,0.5,7.0,6.0,5.4,-0.2
NYG,0.0,5.0,1.3,5.8,4.5
PHI,-0.1,9.0,-0.3,0.0,0.2
CLE,-2.8,7.0,-1.1,-2.5,-4.2
ATL,-3.0,7.0,8.8,13.3,1.4
GB,-3.1,6.0,11.1,10.1,-4.1
TEN,-4.9,9.0,-5.1,0.6,0.8
DAL,-5.2,10.0,-6.6,-3.5,-2.1
JAX,-8.1,5.0,-22.0,-9.4,4.4
CIN,-9.7,6.0,-3.3,9.0,2.6
TB,-13.0,5.0,5.9,14.8,-4.1
NYJ,-14.7,4.0,-19.5,3.3,8.1
DET,-15.2,6.0,-5.2,9.0,-0.9
MIA,-16.5,7.0,-8.9,6.5,-1.1
BUF,-18.2,6.0,-27.5,-14.5,-5.1
WAS,-18.6,7.0,-19.5,1.7,2.5
SF,-20.7,4.0,-15.4,5.7,0.3
OAK,-21.0,4.0,-7.1,12.3,-1.6
ARI,-40.7,3.0,-41.1,0.5,1.0
BAL,41.8,14.0,27.7,-12.7,1.5
NE,30.8,12.0,4.1,-25.5,1.2
KC,30.2,12.0,22.8,-3.4,4.1
NO,29.3,13.0,21.4,-4.3,3.6
SF,27.9,13.0,7.2,-19.7,1.0
DAL,17.2,8.0,24.2,3.0,-3.9
MIN,15.3,10.0,4.6,-9.9,0.8
SEA,13.5,11.0,17.1,2.6,-1.0
TEN,8.1,9.0,12.6,1.0,-3.5
GB,7.7,13.0,6.5,-1.1,0.1
PHI,6.6,9.0,2.6,-4.0,0.0
LAR,5.2,9.0,0.3,-6.4,-1.5
BUF,3.0,10.0,-7.2,-11.5,-1.2
TB,1.4,7.0,-7.3,-11.5,-2.8
CHI,-2.1,8.0,-10.1,-7.2,0.9
IND,-5.0,7.0,-3.1,2.3,0.4
ATL,-5.3,7.0,2.0,4.5,-2.9
PIT,-5.4,8.0,-25.3,-18.4,1.5
HOU,-5.8,10.0,0.4,9.0,2.9
ARI,-5.8,5.0,3.8,7.2,-2.4
LAC,-6.8,5.0,3.8,5.4,-5.1
DEN,-9.0,7.0,-10.8,-3.7,-1.9
CLE,-9.7,6.0,-4.5,6.0,0.8
OAK,-11.6,7.0,5.6,14.8,-2.3
DET,-12.0,3.0,-2.8,10.7,1.4
NYJ,-15.6,7.0,-24.8,-5.8,3.4
NYG,-17.4,4.0,-7.3,10.4,0.3
JAX,-17.8,6.0,-9.5,11.0,2.7
CIN,-25.3,2.0,-16.5,13.4,4.6
WAS,-25.6,3.0,-20.4,7.9,2.7
CAR,-26.7,5.0,-14.3,8.2,-4.1
MIA,-37.4,5.0,-13.9,22.1,-1.3
