date,year,month,yearmonth,week,weekday,weekdaynum,points_11,points_12,points_14,points_15,points_18,points
2018-03-07,2018,March,Mar 2018,10,Wed,3,1000,360,1000,1000,10,674
2018-03-08,2018,March,Mar 2018,10,Thurs,4,1000,360,1000,1000,10,674
2018-03-09,2018,March,Mar 2018,10,Fri,5,1000,360,1000,1000,10,674
2018-03-10,2018,March,Mar 2018,10,Sat,6,1000,360,1000,1000,10,674
2018-03-11,2018,March,Mar 2018,10,Sun,7,1000,360,1000,1000,10,674
2018-03-12,2018,March,Mar 2018,11,Mon,1,1000,360,1000,1000,10,674
2018-03-13,2018,March,Mar 2018,11,Tues,2,1000,360,1000,1000,10,674
2018-03-14,2018,March,Mar 2018,11,Wed,3,1000,360,1000,1000,10,674
2018-03-15,2018,March,Mar 2018,11,Thurs,4,1000,360,1000,1000,10,674
2018-03-16,2018,March,Mar 2018,11,Fri,5,1000,360,1000,1000,10,674
2018-03-17,2018,March,Mar 2018,11,Sat,6,1000,360,1000,1000,10,674
2018-03-18,2018,March,Mar 2018,11,Sun,7,1000,360,1000,1000,10,674
2018-03-19,2018,March,Mar 2018,12,Mon,1,1000,1000,1000,1000,10,802
2018-03-20,2018,March,Mar 2018,12,Tues,2,1000,1000,1000,1000,10,802
2018-03-21,2018,March,Mar 2018,12,Wed,3,1000,1000,1000,1000,10,802
2018-03-22,2018,March,Mar 2018,12,Thurs,4,1000,1000,1000,1000,10,802
2018-03-23,2018,March,Mar 2018,12,Fri,5,1000,1000,1000,1000,10,802
2018-03-24,2018,March,Mar 2018,12,Sat,6,1000,1000,1000,1000,10,802
2018-03-25,2018,March,Mar 2018,12,Sun,7,1000,1000,1000,1000,10,802
2018-03-26,2018,March,Mar 2018,13,Mon,1,1000,1000,1000,1000,10,802
2018-03-27,2018,March,Mar 2018,13,Tues,2,1000,1000,1000,1000,10,802
2018-03-28,2018,March,Mar 2018,13,Wed,3,1000,1000,1000,1000,10,802
2018-03-29,2018,March,Mar 2018,13,Thurs,4,1000,1000,1000,1000,10,802
2018-03-30,2018,March,Mar 2018,13,Fri,5,1000,1000,1000,1000,10,802
2018-03-31,2018,March,Mar 2018,13,Sat,6,1000,1000,1000,1000,10,802
2018-04-01,2018,April,Apr 2018,13,Sun,7,1000,1000,1000,1000,10,802
2018-04-02,2018,April,Apr 2018,14,Mon,1,0,0,0,0,0,0
2018-04-03,2018,April,Apr 2018,14,Tues,2,0,0,0,0,0,0
2018-04-04,2018,April,Apr 2018,14,Wed,3,0,0,0,0,0,0
2018-04-05,2018,April,Apr 2018,14,Thurs,4,0,0,0,0,0,0
2018-04-06,2018,April,Apr 2018,14,Fri,5,0,0,0,0,0,0
2018-04-07,2018,April,Apr 2018,14,Sat,6,0,0,0,0,0,0
2018-04-08,2018,April,Apr 2018,14,Sun,7,0,0,0,0,0,0
2018-04-09,2018,April,Apr 2018,15,Mon,1,0,0,0,0,0,0
2018-04-10,2018,April,Apr 2018,15,Tues,2,0,0,0,0,0,0
2018-04-11,2018,April,Apr 2018,15,Wed,3,0,0,0,0,0,0
2018-04-12,2018,April,Apr 2018,15,Thurs,4,0,0,0,0,0,0
2018-04-13,2018,April,Apr 2018,15,Fri,5,0,0,0,0,0,0
2018-04-14,2018,April,Apr 2018,15,Sat,6,0,0,0,0,0,0
2018-04-15,2018,April,Apr 2018,15,Sun,7,0,0,0,0,0,0
2018-04-16,2018,April,Apr 2018,16,Mon,1,0,600,360,1000,90,410
2018-04-17,2018,April,Apr 2018,16,Tues,2,0,600,360,1000,90,410
2018-04-18,2018,April,Apr 2018,16,Wed,3,0,600,360,1000,90,410
2018-04-19,2018,April,Apr 2018,16,Thurs,4,0,600,360,1000,90,410
2018-04-20,2018,April,Apr 2018,16,Fri,5,0,600,360,1000,90,410
2018-04-21,2018,April,Apr 2018,16,Sat,6,0,600,360,1000,90,410
2018-04-22,2018,April,Apr 2018,16,Sun,7,0,600,360,1000,90,410
2018-04-23,2018,April,Apr 2018,17,Mon,1,250,0,0,0,1,50.2
2018-04-24,2018,April,Apr 2018,17,Tues,2,250,0,0,0,1,50.2
2018-04-25,2018,April,Apr 2018,17,Wed,3,250,0,0,0,1,50.2
2018-04-26,2018,April,Apr 2018,17,Thurs,4,250,0,0,0,1,50.2
2018-04-27,2018,April,Apr 2018,17,Fri,5,250,0,0,0,1,50.2
2018-04-28,2018,April,Apr 2018,17,Sat,6,250,0,0,0,1,50.2
2018-04-29,2018,April,Apr 2018,17,Sun,7,250,0,0,0,1,50.2
2018-04-30,2018,April,Apr 2018,18,Mon,1,0,0,0,0,0,0
2018-05-01,2018,May,May 2018,18,Tues,2,1000,0,0,0,0,200
2018-05-02,2018,May,May 2018,18,Wed,3,1000,0,0,0,0,200
2018-05-03,2018,May,May 2018,18,Thurs,4,1000,0,0,0,0,200
2018-05-04,2018,May,May 2018,18,Fri,5,1000,0,0,0,0,200
2018-05-05,2018,May,May 2018,18,Sat,6,1000,0,0,0,0,200
2018-05-06,2018,May,May 2018,18,Sun,7,1000,0,0,0,0,200
2018-05-07,2018,May,May 2018,19,Mon,1,1000,180,0,0,45,245
2018-05-08,2018,May,May 2018,19,Tues,2,1000,180,0,0,45,245
2018-05-09,2018,May,May 2018,19,Wed,3,1000,180,0,0,45,245
2018-05-10,2018,May,May 2018,19,Thurs,4,1000,180,0,0,45,245
2018-05-11,2018,May,May 2018,19,Fri,5,1000,180,0,0,45,245
2018-05-12,2018,May,May 2018,19,Sat,6,1000,180,0,0,45,245
2018-05-13,2018,May,May 2018,19,Sun,7,1000,180,0,0,45,245
2018-05-14,2018,May,May 2018,20,Mon,1,0,600,1000,1000,360,592
2018-05-15,2018,May,May 2018,20,Tues,2,0,600,1000,1000,360,592
2018-05-16,2018,May,May 2018,20,Wed,3,0,600,1000,1000,360,592
2018-05-17,2018,May,May 2018,20,Thurs,4,0,600,1000,1000,360,592
2018-05-18,2018,May,May 2018,20,Fri,5,0,600,1000,1000,360,592
2018-05-19,2018,May,May 2018,20,Sat,6,0,600,1000,1000,360,592
2018-05-20,2018,May,May 2018,20,Sun,7,0,600,1000,1000,360,592
2018-05-21,2018,May,May 2018,21,Mon,1,720,0,0,0,0,144
2018-05-22,2018,May,May 2018,21,Tues,2,720,0,0,0,0,144
2018-05-23,2018,May,May 2018,21,Wed,3,720,0,0,0,0,144
2018-05-24,2018,May,May 2018,21,Thurs,4,720,0,0,0,0,144
2018-05-25,2018,May,May 2018,21,Fri,5,720,0,0,0,0,144
2018-05-26,2018,May,May 2018,21,Sat,6,720,0,0,0,0,144
2018-05-27,2018,May,May 2018,21,Sun,7,720,0,0,0,0,144
2018-05-28,2018,May,May 2018,22,Mon,1,720,500,1200,1200,360,796
2018-05-29,2018,May,May 2018,22,Tues,2,720,500,1200,1200,360,796
2018-05-30,2018,May,May 2018,22,Wed,3,720,500,1200,1200,360,796
2018-05-31,2018,May,May 2018,22,Thurs,4,720,500,1200,1200,360,796
2018-06-01,2018,June,Jun 2018,22,Fri,5,720,500,1200,1200,360,796
2018-06-02,2018,June,Jun 2018,22,Sat,6,720,500,1200,1200,360,796
2018-06-03,2018,June,Jun 2018,22,Sun,7,720,500,1200,1200,360,796
2018-06-04,2018,June,Jun 2018,23,Mon,1,0,500,1200,1200,360,652
2018-06-05,2018,June,Jun 2018,23,Tues,2,0,500,1200,1200,360,652
2018-06-06,2018,June,Jun 2018,23,Wed,3,0,500,1200,1200,360,652
2018-06-07,2018,June,Jun 2018,23,Thurs,4,0,500,1200,1200,360,652
2018-06-08,2018,June,Jun 2018,23,Fri,5,0,500,1200,1200,360,652
2018-06-09,2018,June,Jun 2018,23,Sat,6,0,500,1200,1200,360,652
2018-06-10,2018,June,Jun 2018,23,Sun,7,0,500,1200,1200,360,652
2018-06-11,2018,June,Jun 2018,24,Mon,1,0,0,0,0,0,0
2018-06-12,2018,June,Jun 2018,24,Tues,2,0,0,0,0,0,0
2018-06-13,2018,June,Jun 2018,24,Wed,3,0,0,0,0,0,0
2018-06-14,2018,June,Jun 2018,24,Thurs,4,0,0,0,0,0,0
2018-06-15,2018,June,Jun 2018,24,Fri,5,0,0,0,0,0,0
2018-06-16,2018,June,Jun 2018,24,Sat,6,0,0,0,0,0,0
2018-06-17,2018,June,Jun 2018,24,Sun,7,0,0,0,0,0,0
2018-06-18,2018,June,Jun 2018,25,Mon,1,2000,0,0,0,300,460
2018-06-19,2018,June,Jun 2018,25,Tues,2,2000,0,0,0,300,460
2018-06-20,2018,June,Jun 2018,25,Wed,3,2000,0,0,0,300,460
2018-06-21,2018,June,Jun 2018,25,Thurs,4,2000,0,0,0,300,460
2018-06-22,2018,June,Jun 2018,25,Fri,5,2000,0,0,0,300,460
2018-06-23,2018,June,Jun 2018,25,Sat,6,2000,0,0,0,300,460
2018-06-24,2018,June,Jun 2018,25,Sun,7,2000,0,0,0,300,460
2018-06-25,2018,June,Jun 2018,26,Mon,1,2000,720,2000,2000,2000,1744
2018-06-26,2018,June,Jun 2018,26,Tues,2,2000,720,2000,2000,2000,1744
2018-06-27,2018,June,Jun 2018,26,Wed,3,2000,720,2000,2000,2000,1744
2018-06-28,2018,June,Jun 2018,26,Thurs,4,2000,720,2000,2000,2000,1744
2018-06-29,2018,June,Jun 2018,26,Fri,5,2000,720,2000,2000,2000,1744
2018-06-30,2018,June,Jun 2018,26,Sat,6,2000,720,2000,2000,2000,1744
2018-07-01,2018,July,Jul 2018,26,Sun,7,2000,720,2000,2000,2000,1744
2018-07-02,2018,July,Jul 2018 ,27,Mon,1,0,720,2000,2000,2000,1344
2018-07-03,2018,July,Jul 2018,27,Tues,2,0,720,2000,2000,2000,1344
2018-07-04,2018,July,Jul 2018 ,27,Wed,3,0,720,2000,2000,2000,1344
2018-07-05,2018,July,Jul 2018,27,Thurs,4,0,720,2000,2000,2000,1344
2018-07-06,2018,July,Jul 2018 ,27,Fri,5,0,720,2000,2000,2000,1344
2018-07-07,2018,July,Jul 2018,27,Sat,6,0,720,2000,2000,2000,1344
2018-07-08,2018,July,Jul 2018 ,27,Sun,7,0,720,2000,2000,2000,1344
2018-07-09,2018,July,Jul 2018,28,Mon,1,0,0,0,0,0,0
2018-07-10,2018,July,Jul 2018 ,28,Tues,2,0,0,0,0,0,0
2018-07-11,2018,July,Jul 2018,28,Wed,3,0,0,0,0,0,0
2018-07-12,2018,July,Jul 2018 ,28,Thurs,4,0,0,0,0,0,0
2018-07-13,2018,July,Jul 2018,28,Fri,5,0,0,0,0,0,0
2018-07-14,2018,July,Jul 2018 ,28,Sat,6,0,0,0,0,0,0
2018-07-15,2018,July,Jul 2018,28,Sun,7,0,0,0,0,0,0
2018-07-16,2018,July,Jul 2018 ,29,Mon,1,0,0,0,0,0,0
2018-07-17,2018,July,Jul 2018,29,Tues,2,0,0,0,0,0,0
2018-07-18,2018,July,Jul 2018 ,29,Wed,3,0,0,0,0,0,0
2018-07-19,2018,July,Jul 2018,29,Thurs,4,0,0,0,0,0,0
2018-07-20,2018,July,Jul 2018 ,29,Fri,5,0,0,0,0,0,0
2018-07-21,2018,July,Jul 2018,29,Sat,6,0,0,0,0,0,0
2018-07-22,2018,July,Jul 2018 ,29,Sun,7,0,0,0,0,0,0
2018-07-23,2018,July,Jul 2018,30,Mon,1,0,0,0,0,0,0
