date,year,month,yearmonth,week,weekday,weekdaynum,points_04,points_05,points_06,points_07,points_09,points
2018-12-18,2018,December,Dec 2018,51,Tues,2,0,0,0,0,0,0
2018-12-19,2018,December,Dec 2018,51,Wed,3,0,0,0,0,0,0
2018-12-20,2018,December,Dec 2018,51,Thurs,4,0,0,0,0,0,0
2018-12-21,2018,December,Dec 2018,51,Fri,5,0,0,0,0,0,0
2018-12-22,2018,December,Dec 2018,51,Sat,6,0,0,0,0,0,0
2018-12-23,2018,December,Dec 2018,51,Sun,7,0,0,0,0,0,0
2018-12-24,2018,December,Dec 2018,52,Mon,1,0,0,0,0,0,0
2018-12-25,2018,December,Dec 2018,52,Tues,2,0,0,0,0,0,0
2018-12-26,2018,December,Dec 2018,52,Wed,3,0,0,0,0,0,0
2018-12-27,2018,December,Dec 2018,52,Thurs,4,0,0,0,0,0,0
2018-12-28,2018,December,Dec 2018,52,Fri,5,0,0,0,0,0,0
2018-12-29,2018,December,Dec 2018,52,Sat,6,0,0,0,0,0,0
2018-12-30,2018,December,Dec 2018,52,Sun,7,0,0,0,0,0,0
2018-12-31,2018,December,Dec 2018,53,Mon,1,0,0,0,0,0,0
